,id,listing_url,last_scraped,source,name,description,neighborhood_overview,picture_url,picture_url,host_id,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,bathrooms_text,amenities,price,has_availability,calendar_last_scraped,first_review,last_review,accommodates,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
21,131610,https://www.airbnb.com/rooms/131610,2023-03-29,city scrape,MARIA DEL ALMA,"<b>The space</b><br />VIVE LA EXPERIENCIA DE COYOACAN EN UNA HERMOSA CASA CON JARDINES Y TERRAZA COMPARTIDAS, SEGURIDAD Y ATENCION FAMILIAR, EN LA ZONA MAS EMBLEMATICA DE LA CIUDAD RODEADA DE HISTORIA ( FRIDA KALHO, LEON TROSTKY, STA. CAATARINA, LA MALINCHE, LA CONCHITA, SAN JUAN BAUTISTA, MUJSEO DE LAS CULTURAS POPULARES ETC...) GASTRONOMIA MEXICANA",DESCONOCIDO,https://a0.muscache.com/pictures/837085/b9ed71bf_original.jpg,https://a0.muscache.com/pictures/837085/b9ed71bf_original.jpg,647454,647454,https://www.airbnb.com/users/show/647454,Fernando,2011-05-31,"Mexico City, Mexico",DESCONOCIDO,within a few hours,100%,DESCONOCIDO,f,https://a0.muscache.com/im/pictures/user/0e6672ca-5950-4e04-932e-952e96caf7dd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0e6672ca-5950-4e04-932e-952e96caf7dd.jpg?aki_policy=profile_x_medium,Coyoacán,['phone'],t,f,DESCONOCIDO,Coyoacán,19.35416,-99.16488,Private room,Private room,1 private bath,"[""Patio or balcony"", ""Wifi"", ""Breakfast"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Fire extinguisher"", ""Smoking allowed"", ""TV with standard cable"", ""Backyard"", ""Essentials""]","$1,244.00",t,2023-03-29,2014-09-06,2023-01-29,2,1,730,1.0,1.0,730.0,730.0,1.0,730.0,28,58,88,88,0,0,0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,3,1,2,0,1.7
1062,12271259,https://www.airbnb.com/rooms/12271259,2023-03-29,city scrape,"Artist Studio in CDMX, big terrace","A creative, unique and vibrant oasis in the heart of Mexico City for those looking for a place to create (design, writing, art, music), immersed within a special and extraordinary, sustainable architectural design, where a large terrace links different open and green spaces that invite reflection and inspiration. Each space has a purpose with the lines of research and interests of the artists who share their studio with the guests.<br /><br /><b>The space</b><br />The accommodation is spacious and bright, directly linked to a large terrace, which allows you to work comfortably indoors or outdoors covered from rain and sun. <br /><br />The interior covered with wood provides a modern and attractive decoration that inspires creativity and productivity, the workspace allows two people working simultaneously,  equipped with Wi-Fi and ethernet ports for users who need to connect their equipment via cable.<br /><br />Equipped with two beds, it can comfortably accommodate a couple or a lone c","Iztacalco is the oldest neighbor in Mexico City, even older than Tenochtitlan. Nowadays the neighbor has a dynamic life, surrounded by wood  and small shops you can feel the mexico city life far from touristic places",https://a0.muscache.com/pictures/2e640271-4a05-4023-86f0-7949b6e407ca.jpg,https://a0.muscache.com/pictures/2e640271-4a05-4023-86f0-7949b6e407ca.jpg,2556582,2556582,https://www.airbnb.com/users/show/2556582,Hector,2012-06-05,"Mexico City, Mexico","Hector is a designer and consultant on sustainability, art and design issues. His firm belief about the multidimensionality of human beings has led him to study different fields of knowledge and develop his work under this vision. 
He is co-founder of BIOe where among his costumers and partners have developed a methodology to pursue habitat performance with a holistic view.
His interest in sustainability led to the creation of CUBE, an ONG with a tremendous growth becoming a reference on sustainability education with more than fifteen exhibitions and conferences in just two years since its creation. 
He firmly believes that everyone is an agent of change: a designer, and as co-founder of primal has been responsible for assembling multidisciplinary teams to develop design projects for companies as diverse as Scribe, Rothenberger, Televisa and Museo de Arte Carrillo Gil.
He is co-founder of “limit” a project which addresses the relation between workers and their infinite possibilities as human beings through art. 
Hector is a decided Plexant.

Entrepreneur interested in new technologies, art, architecture and design",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/adeee945-d1b0-4e2d-b333-f6c8eca76ade.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/adeee945-d1b0-4e2d-b333-f6c8eca76ade.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone', 'work_email']",t,t,"Ciudad de Mexico, Iztacalco, Mexico",Iztacalco,19.39057309216409,-99.12979775702225,Private room,Private room,1 private bath,"[""Ethernet connection"", ""Smoke alarm"", ""Free street parking"", ""Luggage dropoff allowed"", ""Shared patio or balcony"", ""Long term stays allowed"", ""Cleaning products"", ""Outdoor dining area"", ""Coffee"", ""Laundromat nearby"", ""Security cameras on property"", ""Host greets you"", ""Breville stainless steel oven"", ""Dedicated workspace"", ""Essentials"", ""Iron"", ""Hot water"", ""Lock on bedroom door"", ""Outdoor furniture"", ""Hair dryer"", ""Cooking basics"", ""Rice maker"", ""Cleaning available during stay"", ""Shared backyard"", ""Clothing storage"", ""Fire extinguisher"", ""Kitchen"", ""Turmix electric stove"", ""First aid kit"", ""Courtyard view"", ""Coffee maker"", ""Private entrance"", ""Dishes and silverware"", ""Shared outdoor kitchen"", ""Wifi \u2013 26 Mbps"", ""Carbon monoxide alarm"", ""Body soap"", ""Shampoo""]",$748.00,t,2023-03-29,2017-05-23,2022-11-21,2,2,1125,2.0,4.0,1125.0,1125.0,2.4,1125.0,30,60,90,365,15,2,0,4.93,4.8,4.93,4.93,5.0,4.8,4.73,1,0,1,0,0.21
1972,16740088,https://www.airbnb.com/rooms/16740088,2023-03-29,city scrape,Explore Mexico City on foot from a Master Suite,"Explore Mexico City’s main avenue on foot, located 600 m from United States Embassy, 500m from The Angel of Independence, 1.7km away from Chapultepec Castle, and 11km from the Benito Juarez International Airport.<br />We offer 4-star accommodations and provide a 24-hour front desk, airport transfers upon request, free WiFi, air-conditioned rooms, coffee machine, safe box, flat-screen TV, and a private bathroom with a shower. <br />Master Suites include a kitchen with a microwave, fridge, and minibar.<br /><br /><b>Guest access</b><br />During your stay, you are welcome to use our outdoor pool and gym. This public gym is located on the 2 floor and is one of the most complete in the area; we offer yoga, dance, and pilate classes.","Explore Mexico City’s main avenue on foot, located 600 m from United States Embassy, 500m from The Angel of Independence, 1.7km away from Chapultepec Castle, and 11km from the Benito Juarez International Airport.<br />Enjoy Mexican culture, food, and history through these streets",https://a0.muscache.com/pictures/miso/Hosting-16740088/original/9bc64bd5-7fca-4dce-b2ab-9bdb43cceebb.jpeg,https://a0.muscache.com/pictures/miso/Hosting-16740088/original/9bc64bd5-7fca-4dce-b2ab-9bdb43cceebb.jpeg,111031291,111031291,https://www.airbnb.com/users/show/111031291,Juan Jose,2017-01-11,"Mexico City, Mexico",Somos un hotel cerca de el ángel de la independencia. ¡Somos buenos anfitriones y solo nos importa tu comodidad ! Escríbenos si tienes dudas y reserva aquí. ,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/bcefce00-026f-4e23-a3c0-6a7805861458.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bcefce00-026f-4e23-a3c0-6a7805861458.jpg?aki_policy=profile_x_medium,Colonia Cuauhtémoc,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.42712,-99.17129,Room in hotel,Private room,1 private bath,"[""Smoke alarm"", ""Flo body soap"", ""Flo shampoo"", ""Luggage dropoff allowed"", ""Single level home"", ""Long term stays allowed"", ""55\"" HDTV with Amazon Prime Video, Netflix, standard cable"", ""Dining table"", ""Toaster"", ""Coffee"", ""Security cameras on property"", ""Host greets you"", ""Electric stove"", ""Essentials"", ""Exercise equipment: elliptical, free weights, stationary bike, treadmill"", ""Extra pillows and blankets"", ""Oven"", ""Mini fridge"", ""Iron"", ""Safe"", ""Microwave"", ""AC - split type ductless system"", ""Flo conditioner"", ""Shared pool - available all year, open specific hours"", ""Hot water"", ""Paid street parking off premises"", ""Lock on bedroom door"", ""Outdoor furniture"", ""Hair dryer"", ""Elevator"", ""Shower gel"", ""Refrigerator"", ""Hangers"", ""Fire extinguisher"", ""Kitchen"", ""Blender"", ""First aid kit"", ""Shared gym in building"", ""Freezer"", ""Books and reading material"", ""Bed linens"", ""Free parking garage on premises \u2013 1 space"", ""Private living room"", ""Private entrance"", ""Wifi"", ""Pets allowed"", ""Coffee maker: drip coffee maker, Nespresso"", ""Dishes and silverware"", ""Bathtub"", ""Portable heater"", ""Carbon monoxide alarm"", ""Shared sauna"", ""Sun loungers"", ""Clothing storage: wardrobe""]","$2,357.00",t,2023-03-29,2018-02-18,2023-03-12,2,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,365,16,5,2,4.63,4.94,5.0,4.88,4.63,4.94,4.63,4,0,4,0,0.26
2670,19639981,https://www.airbnb.com/rooms/19639981,2023-03-29,city scrape,Tanke hause,A 15 minutos de coyoacan metro taxqueña esta super iluminado ideal para descansar tranquil9,DESCONOCIDO,https://a0.muscache.com/pictures/97a2b1cd-b4c6-41f8-9bfc-8d2f25f97880.jpg,https://a0.muscache.com/pictures/97a2b1cd-b4c6-41f8-9bfc-8d2f25f97880.jpg,136125882,136125882,https://www.airbnb.com/users/show/136125882,Fernando,2017-06-20,"Mexico City, Mexico",DESCONOCIDO,within a day,50%,100%,f,https://a0.muscache.com/im/pictures/user/4e216b63-ebd5-4348-bc5e-6dbc15493afa.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4e216b63-ebd5-4348-bc5e-6dbc15493afa.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,f,DESCONOCIDO,Coyoacán,19.34166,-99.15035,Private room,Private room,1 shared bath,"[""Wifi"", ""Breakfast"", ""Washer"", ""Smoking allowed"", ""First aid kit"", ""Free parking on premises"", ""Essentials""]",$181.00,t,2023-03-29,2023-02-26,2023-02-26,1,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,23,53,83,358,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1,0,0.94
2805,20089283,https://www.airbnb.com/rooms/20089283,2023-03-29,city scrape,"Habitación en Heroes de Padierna, muy confortable","Departamento con muy buena iluminación, decorado elegante, a espalda del campus ITAM, Santa Teresa",DESCONOCIDO,https://a0.muscache.com/pictures/ce986ca7-ede8-405a-b632-0e1edb41406c.jpg,https://a0.muscache.com/pictures/ce986ca7-ede8-405a-b632-0e1edb41406c.jpg,142841816,142841816,https://www.airbnb.com/users/show/142841816,M. E. Javier Orlando,2017-07-27,DESCONOCIDO,DESCONOCIDO,within a day,50%,100%,f,https://a0.muscache.com/im/pictures/user/ab168da2-4195-4383-9f77-391b03e0a415.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ab168da2-4195-4383-9f77-391b03e0a415.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,f,DESCONOCIDO,La Magdalena Contreras,19.31152,-99.22341,Private room,Private room,2 shared baths,"[""Elevator"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Wifi"", ""Iron"", ""Washer"", ""Hangers"", ""Hot water"", ""Shampoo"", ""Kitchen"", ""Lock on bedroom door"", ""Pocket wifi"", ""TV"", ""Bed linens"", ""Essentials""]",$400.00,t,2023-03-29,2017-08-10,2023-03-07,2,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,27,17,1,1,4.76,4.71,4.65,4.71,4.76,4.65,4.65,1,0,1,0,0.25
3065,21067896,https://www.airbnb.com/rooms/21067896,2023-03-30,previous scrape,Pleasent & prívate room near Polanco Plaza Carso,"Menos es más, decorado sencillo es un apartamento para pernoctar y descansar, muy silencioso<br />Una persona co habita en una habitación independiente<br /><br /><b>The space</b><br />Ideal para una persona o una pareja joven<br /><br /><b>Guest access</b><br />Amenities<br />Cocina equipada, refrigerador, centro de lavado, estufa.<br /><br />Dentro del complejo hay un espacio al aire libre con aparatos para hacer ejercicio  y una pequeña pista de arcilla para trotar, cancha de basket ball","Está a 5 minutos del metro cuatro caminos, el edificio tiene vigilancia 24 hrs, elevador con chip se seguridad",https://a0.muscache.com/pictures/9d3df58d-6bc8-4f01-88d0-ec75589f4eb4.jpg,https://a0.muscache.com/pictures/9d3df58d-6bc8-4f01-88d0-ec75589f4eb4.jpg,151816281,151816281,https://www.airbnb.com/users/show/151816281,Jessa,2017-09-23,DESCONOCIDO,"Hello, during my life I have had the opportunity to travel and get to know different places in my beautiful Mexico and in other countries in Latin America and Europe.
Hospitality and warmth are family values, I was a girl scout for more than 15 years, so cultural diversity, gender, religion and acceptance are part of my principles. If you are looking for a stay in CDMX or Cancun, I offer you a clean and safe room. We are dogs friendly.

Hola, durante mi andar en esta vida he podido disfrutar del trabajo y de vacacionar en distintos lugares de mi bello país México y en otros países de Latinoamérica y Europa, he sido Scout por más de 15 años, así que la hospitalidad, la aceptación de la diversidad de culturas, religiones e ideologías son parte de mis valores familiares y sociales; recibo huéspedes que busquen una habitación segura en un hogar limpio, cálido con lo básico de calidad para visitar lugares cercanos a CDMX y CANCÚN, siendo éstas ciudades donde ofrezco una gran estancia, segura, cómoda e higiénica. Aceptamos que te hospedes con tu mejor amigo perruno.

",within a few hours,100%,100%,f,https://a0.muscache.com/im/pictures/user/0bb5996c-3a7c-47c7-96db-35db7a52f35e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0bb5996c-3a7c-47c7-96db-35db7a52f35e.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Miguel Hidalgo,19.45733,-99.21227,Private room,Private room,1 shared bath,"[""Smoke alarm"", ""Shared gym nearby"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Dedicated workspace"", ""Essentials"", ""Extra pillows and blankets"", ""Iron"", ""Free dryer \u2013 In unit"", ""Hot water"", ""Lock on bedroom door"", ""Free parking on premises"", ""Cooking basics"", ""Elevator"", ""96\"" TV with Netflix"", ""Refrigerator"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Books and reading material"", ""Bed linens"", ""Coffee maker"", ""Private living room"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Wifi"", ""Pets allowed"", ""Portable heater"", ""Clothing storage: wardrobe and closet"", ""Exercise equipment""]",$600.00,t,2023-03-30,2017-12-12,2023-01-13,2,2,15,2.0,2.0,15.0,15.0,2.0,15.0,0,0,0,0,6,5,0,4.33,4.8,4.8,5.0,5.0,5.0,4.8,1,0,1,0,0.09
3257,21765818,https://www.airbnb.com/rooms/21765818,2023-03-30,city scrape,"Room in Polanco, Mexico City","Es una habitación muy agradable, con mucha luz. Estilo clásico, donde se puede encontrar un ambiente de tranquilidad, en una de las  áreas  más cosmopolita, segura y céntrica de la ciudad de México. Cerca de museos, parques, y plazas comerciales. A unas cuantas cuadras de Chapultepec y Reforma.",DESCONOCIDO,https://a0.muscache.com/pictures/d81e6a17-35ae-4d63-8e39-7ba561afe701.jpg,https://a0.muscache.com/pictures/d81e6a17-35ae-4d63-8e39-7ba561afe701.jpg,158580118,158580118,https://www.airbnb.com/users/show/158580118,Libertad,2017-11-13,"Mexico City, Mexico",DESCONOCIDO,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/bcfc7a80-c355-40f1-bdc0-04440011f860.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bcfc7a80-c355-40f1-bdc0-04440011f860.jpg?aki_policy=profile_x_medium,Polanco,['phone'],t,t,DESCONOCIDO,Miguel Hidalgo,19.43487,-99.18768,Private room,Private room,1 private bath,"[""Private entrance"", ""Wifi"", ""Washer"", ""Hangers"", ""Shampoo"", ""Lock on bedroom door"", ""First aid kit"", ""Dryer"", ""TV"", ""Essentials""]",$508.00,t,2023-03-30,2017-12-03,2023-03-19,2,1,7,1.0,1.0,7.0,7.0,1.0,7.0,0,4,27,282,157,23,3,4.94,4.96,4.94,4.99,4.92,4.98,4.9,1,0,1,0,2.42
3359,22230184,https://www.airbnb.com/rooms/22230184,2023-03-30,city scrape,Wonderful Suite in the heart of Roma Norte,"Besides residential buildings, the neighbourhood streets of ""La Roma"" are lined with restaurants, bars, clubs, shops, cultural centers, churches and galleries. Roma was designated as a ""Barrio Mágico"" (""magical neighborhood"") by the city in 2011. Few blocks from grocery stores, coffee shops and less than 1 mile from Parque México, El Plaza Condesa, Cine Tonala, Museo de Cera, Arena México, Ángel de La Independencia, La Teatrería, Corredor Cultural Roma-Condesa and Foro Shakespeare.",DESCONOCIDO,https://a0.muscache.com/pictures/676718b5-3d42-464c-90d2-50529c465789.jpg,https://a0.muscache.com/pictures/676718b5-3d42-464c-90d2-50529c465789.jpg,93911392,93911392,https://www.airbnb.com/users/show/93911392,Andres,2016-09-06,"Mexico City, Mexico",DESCONOCIDO,within an hour,100%,98%,f,https://a0.muscache.com/im/pictures/user/ce77741a-dfc8-434f-aa1b-6b54ee214e3a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ce77741a-dfc8-434f-aa1b-6b54ee214e3a.jpg?aki_policy=profile_x_medium,Roma Norte,"['email', 'phone']",t,t,DESCONOCIDO,Cuauhtémoc,19.41364,-99.16292,Private room,Private room,1 private bath,"[""Smoke alarm"", ""Free street parking"", ""Single level home"", ""HDTV with Netflix"", ""Coffee"", ""Laundromat nearby"", ""Essentials"", ""Mini fridge"", ""Iron"", ""Hot water"", ""Keypad"", ""Lock on bedroom door"", ""Hair dryer"", ""Shower gel"", ""Portable fans"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""Self check-in"", ""Coffee maker"", ""Bed linens"", ""Private entrance"", ""Wifi"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Shampoo""]",$765.00,t,2023-03-30,2017-12-23,2023-03-25,2,2,31,2.0,2.0,1125.0,1125.0,2.0,1125.0,26,56,86,86,227,38,4,4.33,4.51,4.46,4.79,4.8,4.88,4.39,7,1,6,0,3.54
3372,22247072,https://www.airbnb.com/rooms/22247072,2023-03-30,city scrape,Amazing Suite in the heart of Roma Norte,"Besides residential buildings, the neighbourhood streets of ""La Roma"" are lined with restaurants, bars, clubs, shops, cultural centers, churches and galleries. Roma was designated as a ""Barrio Mágico"" (""magical neighborhood"") by the city in 2011. Few blocks from grocery stores, coffee shops and less than 1 mile from Parque México, El Plaza Condesa, Cine Tonala, Museo de Cera, Arena México, Ángel de La Independencia, La Teatrería, Corredor Cultural Roma-Condesa and Foro Shakespeare.",DESCONOCIDO,https://a0.muscache.com/pictures/a053248f-5488-4167-9453-0a5f0b2cd28d.jpg,https://a0.muscache.com/pictures/a053248f-5488-4167-9453-0a5f0b2cd28d.jpg,93911392,93911392,https://www.airbnb.com/users/show/93911392,Andres,2016-09-06,"Mexico City, Mexico",DESCONOCIDO,within an hour,100%,98%,f,https://a0.muscache.com/im/pictures/user/ce77741a-dfc8-434f-aa1b-6b54ee214e3a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ce77741a-dfc8-434f-aa1b-6b54ee214e3a.jpg?aki_policy=profile_x_medium,Roma Norte,"['email', 'phone']",t,t,DESCONOCIDO,Cuauhtémoc,19.41538,-99.16064,Private room,Private room,1 private bath,"[""Smoke alarm"", ""Free street parking"", ""HDTV with Netflix"", ""Coffee"", ""Laundromat nearby"", ""Essentials"", ""Mini fridge"", ""Iron"", ""Microwave"", ""Hot water"", ""Keypad"", ""Lock on bedroom door"", ""Hair dryer"", ""Shower gel"", ""Portable fans"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""First aid kit"", ""Self check-in"", ""Coffee maker"", ""Bed linens"", ""Wifi"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Shampoo""]",$822.00,t,2023-03-30,2017-12-21,2023-03-19,2,1,31,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,90,265,47,2,4.41,4.62,4.42,4.85,4.81,4.9,4.47,7,1,6,0,4.13
3455,22340146,https://www.airbnb.com/rooms/22340146,2023-03-30,city scrape,Recámara Uno en CDMX,"Es un Edifico Antiguo; <br />Ubicado a una cuadra del Palacio de Bellas Artes, Alameda Central, Mirador Torre Latinoamericana, y del Zócalo, Catedral Metropolitana, Palacio Nacional, y Templo Mayor.<br />Restaurantes como el Cardenal, Casa de Toño, Café Tacuba, Azul Histórico, Centro Castellano, Barrio Chino, Fastfood y Cafés.<br />Transporte:<br />L 2 estación  Bellas Artes<br />L 8 estación San Juan de Letrán<br />L 3 estación Juarez <br />L 1 Salto Del Agua <br />Metrobús hacía Aeropuerto <br />Terminales de Autobuses <br />Bancos<br /><br /><b>The space</b><br />Una recámara con cama matrimonial<br />Dos ventanas<br />Un baño para compartir <br />Servicio de wifi <br />Ubicado en Centro Histórico de la ciudad México","Esta en el primer cuadro de la ciudad de México, Centro Histórico, rodeado de museos, restaurantes, cafés, sitios emblemáticos de la CDMX, servicios de banco, tiendas departamentales, central de policía, transporte publico en general.",https://a0.muscache.com/pictures/499a4c21-6dca-4719-a828-ff6e9e0708be.jpg,https://a0.muscache.com/pictures/499a4c21-6dca-4719-a828-ff6e9e0708be.jpg,115584349,115584349,https://www.airbnb.com/users/show/115584349,Abel,2017-02-08,"Mexico City, Mexico","I am Mexican, I was born in CDMX
I have had the opportunity to travel throughout the country, as well as visiting more than forty nations, which allows me to understand a little the idiosyncrasies of the guests and serve them better.
 IG:  abelgf",within an hour,100%,83%,f,https://a0.muscache.com/im/pictures/user/d2ab9853-7d20-47af-8515-57b05e4356b5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d2ab9853-7d20-47af-8515-57b05e4356b5.jpg?aki_policy=profile_x_medium,Centro Histórico,"['email', 'phone']",t,t,"Centro, Ciudad de México, Mexico",Cuauhtémoc,19.433,-99.14101,Private room,Private room,1 shared bath,"[""Wifi"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Hangers"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Host greets you"", ""Coffee maker"", ""Essentials""]",$375.00,t,2023-03-30,2018-01-02,2021-11-27,2,1,12,1.0,1.0,12.0,12.0,1.0,12.0,0,2,24,24,85,0,0,4.87,4.89,4.86,4.86,4.86,4.95,4.87,3,0,3,0,1.33
